Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter,,
Conference,"Print, Packaging, Graphics",World Printers Forum Conference,7 Oct 2019,11:00 AM - 06:00 PM,,20-Oct,Germany,Berlin,F.A.Z.,,,https://events.wan-ifra.org/events/world-printers-forum-conference-2019,?+49 621 40 16 61 21?,h.stock@ifra-dcx.com,The Power of Print The aim of the event is to analyse more than 300 international studies on the advertising impact of print and print finishing for over a year. The world's first meta-analysis brings order to the diversity of scientific findings and technical possibilities. https://events.wan-ifra.org/events/world-printers-forum-conference-2019/topics,,"Eligibility Criteria: Open to industry professionals Fees: Full Ticket Berlin Publishing Days - 449 (Early bird rate), 499 (Standard rate) World Printers Forum Conference incl. Expo - 249 (Early bird rate), 299 (Standard rate) IFRA Berlin Publishing Tour incl. Expo - 149 (Early bird rate), 199 (Standard rate) Berlin Publishing Night - 99",,https://www.flickr.com/photos/boerding-messe/sets/72157702414375944/,,https://www.facebook.com/newspaperworld/,,https://www.linkedin.com/company/wan-ifra/,https://twitter.com/IFRAExpo,,
Trade Show & Conference,"Print, Packaging, Graphics",Consumer-Driven Packaging Trends & Innovations,9 Oct 2019,09:00 AM - 05:00 PM,22-May-19,20-May,United Kingdom,London,One Great George Street,,,https://packagingtrendsconference.com/,+44 20 3479 2299,info@packagingtrendsconference.com,"Resonate With Consumers With Innovative, Stand-Out, Exciting Packaging 19 cross-sector packaging experts delve into the latest insights & future trends for exciting, sustainable packaging which resonates with today's eco-conscious consumer, positively impacts brand recognition, communicates green credentials & boosts the bottom line. https://packagingtrendsconference.com/",,Eligibility Criteria: Open to industry professionals Fees: Inhouse/Brand Rate Packaging Conference Only - 599 + VAT NPD Conference Only - 669 + VAT Both Full Days - 1.068 + VAT Agency/Supplier/Other Packaging Conference Only - 849 + VAT NPD Conference Only - 819 + VAT Both Full Days - 1.468 + VAT,Sponsorship Fees: Contact required for further information Exhibitor Fees: Exhibition stand and two delegate passes - 2.499,,,,,,,,
Conference,"Print, Packaging, Graphics",Automotive Packaging Summit,10 Oct 2019,08:30 AM - 05:00 PM,8-Nov-18,Oct-Nov 2020,USA,Greenville,Greenville One Center,,,https://www.autopacksummit.com/,+1 703 402 4237,diana@packageinsight.com,For a More Efficient and Cost Effective Supply Chain for Both Automotive and the Economy AutoPack Summit is an open forum for OEMs to discuss their packaging innovations and challenges. The goal is to collaborate for a more efficient and cost effective supply chain for both automotive and the economy. https://www.autopacksummit.com/,,Eligibility Criteria: Open to industry professionals Fees: $799,Sponsorship opportunities available Contact required for further information Sponsorship Registration,,https://www.autopacksummit.com/videos,,,,,,
Conference,"Print, Packaging, Graphics",FPA Fall Executive Conference,10 Oct 2019,09:00 AM - 06:30 PM,4-Oct-18,20-Oct,USA,Chicago,InterContinental Chicago Magnificent Mile,,,https://www.flexpack.org/events/fpa-2019-fall-executive-conference/,+1 410 694 0800,fpa@flexpack.org,"Trends, Issues and Challenges of the Packaging Industry The 2019 Conference will offer great networking opportunities for industry leaders and senior management. The content-rich agenda will focus on industry-specific topics, issues and challenges. https://www.flexpack.org/events/fpa-2019-fall-executive-conference/",,Eligibility Criteria: Open to industry professionals Fees: FPA Member Rate - $1.125 Non-member Rate - $1.500,Sponsorship opportunities available,,,,,,https://twitter.com/FlexPackOrg,,
Trade Show & Conference,"Print, Packaging, Graphics",Pack Expo Las Vegas,23 Sep 2019 -25 Sep 2019,09:00 AM - 06:15 PM (23 Sep 2019)|09:00 AM - 04:00 PM (24 Sep 2019)|09:00 AM - 02:15 PM (25 Sep 2019),25-27 Sep 2017,21-Sep,USA,Las Vegas,Las Vegas Convention Center,30000,2000,https://www.packexpolasvegas.com,+1 508 743 8503,packexpolasvegas@xpressreg.net,Powering Innovation in Packaging Pack Expo Las Vegas brings together end users and suppliers from virtually all packaged goods industries for three days that will power innovation in packaging. Its the largest packaging event of the year. https://www.packexpolasvegas.com/the-show,"ADCO Manufacturing ,AVEVA ,Bosch Packaging Technology, Inc. ,Delta Modtech ,Emerson ,Hitachi America, Ltd. ,Honeywell Intelligrated ,Lantech ,Marchesini Group USA Inc. ,Nita Labeling Equipment ,Orion Packaging Systems ,Regal Beloit Corporation ,Quadrel Labeling Systems ,Schneider Electric ,Serpa Packaging Solutions ,TopTier Palletizers ,Weiler Labeling Systems ,Yamato Corporation ,Multivac, Inc. ,MG America, Inc.",Eligibility Criteria: Open to industry professionals Fees: By August 30 - $30 After August 30 - $100,Sponsorship Fees: No information Exhibitor Fees: Contact required for further information,,https://www.packexpolasvegas.com/videos,https://www.facebook.com/events/422166795020332/,,https://www.linkedin.com/showcase/pack-expo-las-vegas/,https://twitter.com/packexposhow,,
Conference,"Print, Packaging, Graphics",Digital Packaging Summit,11 Nov 2019-13 Nov 2019,04:30 PM - 06:50 PM (11 Nov 2019)|08:00 AM - 06:35 PM (12 Nov 2019)|08:00 AM - 06:15 PM (13 Nov 2019),5-7 Nov 2018,20-Nov,USA,Jacksonville,Ponte Vedra Inn & Club,,,https://www.digitalpackagingsummit.com/,,dpsinfo@napco.com,"Invitation-Only, Relationship-Building Event, With a Touch of Class The Digital Packaging Summit is a free, all-inclusive experience for qualified attendees  senior managers and business executives who want to understand how current and future digital production printing technology, software and solutions will impact their business and investment decisions. This summit offers strategic-level insights into what printing and converting industry leaders should do to improve and optimize their business. https://www.digitalpackagingsummit.com/why-attend/",,Eligibility Criteria: Invitation-only event. Open to industry professionals Fees: Free,Sponsorship opportunities available Contact required for further information Sponsorship Registration,,,https://www.facebook.com/packageprintingmag/,,https://www.linkedin.com/company/package-printing/,https://twitter.com/packageprintmag,,
Conference,"Print, Packaging, Graphics",Inkjet Summit,20 Apr 2020-22 Apr 2020,08:00 AM - 07:00 PM,8-10 Apr 2019,21-Apr,USA,Austin,Hyatt Lost Pines,,,https://ijsummit.com,,dpsinfo@napco.com,"Propel Your Technology Strategy Forward The Inkjet Summit is a free, all-inclusive experience for qualified attendees - senior managers and business executives who want to understand how current and future production inkjet printing technology, software and solutions will impact their business and investment decisions. This summit offers strategic-level insights into what printing industry leaders should do to improve and optimize their business. https://ijsummit.com/why-attend/",,Eligibility Criteria: Invitation-only event. Open to industry professionals Fees: Free,Sponsorship opportunities available Contact required for further information Sponsorship Registration,,,https://www.facebook.com/PIconnects,,https://www.linkedin.com/company/printing-impressions/,https://twitter.com/PIconnects,,
Trade Show,"Print, Packaging, Graphics",Shanghai World of Packaging,25 Nov 2019-28 Nov 2019,09:00 AM - 05:00 PM (25 Nov 2019-27 Nov 2019)|09:00 AM - 03:00 PM (28 Nov 2019),7-10 Nov 2017,21-Nov,China,Shanghai,Shanghai New International Expo Centre(SNIEC),18118,487,http://www.swop-online.com/en,+49 211 4560 615,TuennissenK@messe-duesseldorf.de,"Enter the Era of Smart & Innovative Packaging swop will cover end use industries such as food, beverage, confectionery, baked goods, pharmaceuticals, cosmetics and daily care products, non-food consumer goods and industrial goods, providing an excellent trading platform for domestic manufacturers of processing and packaging machinery and materials. http://www.swop-online.com/en","Dongguan JinPan Mould Fittings ,Ring Pack Packaging ,YiWu TuoHe Heat Transfer Printing ,Suzhou Hamnow Materials ,Ruian Ruiyu Industrial Control Instrument Factory ,RichCoding Technology ,Malex Plastic Machinery ,Guangzhou Expresspacks Equipment ,Zhuhai Qinghe Electronics ,Jufeng Plastic ,Foshan ,Wenling city GaoBao Printing Industries ,DMPack Tech Co. Ltd. ,Zheijang Discover Machinery Manufacturing ,Taizhou City Liyang Package ,Daliani Totani Corporation ,Jumbo Automation Equipment ,Demag Plastics Machinery ,Shanghai Anping Static Technology ,Leister Technologies",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: No information Exhibitor Fees: Contact required for further information,,http://www.swop-online.com/en/Gallery/,https://www.facebook.com/swop.sh/,,https://www.linkedin.com/in/swop-shanghai-world-of-packaging-a33742158/,https://twitter.com/swop_shanghai,,
Trade Show,"Print, Packaging, Graphics",Upakovka,28 Jan 2020-31 Jan 2020,09:00 AM - 06:00 PM,29 Jan-1 Feb 2019,Jan-Feb 2021,Russia,Moscow,Expocentre,25000,250,https://www.upakovka-tradefair.com/,+1 312 781 5180,rklemm@mdna.com,"The No. 1 Fair in Russia for Packaging and Processing Machines upakovka as member of interpack alliance is the essential event for the food, beverage, confectionery, bakery, pharmaceutical, cosmetics, non-food and industrial goods sectors in Russia. No other trade fairs in Russia represent the entire supply chain and provide all industry sectors with tailored solutions and innovative designs based on such a variety of materials. https://www.upakovka-tradefair.com/en/Visitors/Overview","Auer Packaging GmbH ,Caotech B.V. ,B&B Verpackungstechnik GmbH ,Forenkom LLC ,German Pavilion ,Heuft Systemtechnik GmbH ,Koenig & Bauer AG ,OOO Markirovka Plus ,Pieri S.r.l. ,Masterskaya of advertising LLC ,Polimer-Trade Ltd. ,R. Bardi S.r.l. ,Evoguard GmbH ,Packaging Museum ,POLO Handels AG ,UCIMA ,thyssenkrupp Rasselstein GmbH ,Tech-Long Rus, LLC ,Walter Industriebedarf EK ,V2 Engineering Srl",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: No information Exhibitor Fees: Row stand  1 side open Space only (min. 20 sq m) - 369/sq m Basic package (min. 12 sq m) - 400/sq m Premium package (min. 18 sq m) - 450/sq m Corner stand  2 sides open Space only (min. 20 sq m) - 404/sq m Basic package (min. 12 sq m) - 435/sq m Premium package (min. 18 sq m) - 485/sq m End of block  3 sides open Space only (min. 20 sq m) - 419/sq m Basic package (min. 12 sq m) - 450/sq m Premium package (min. 18 sq m) - 500/sq m Island side  4 sides open Space only (min. 20 sq m) - 434/sq m Basic package (min. 12 sq m) - 465/sq m Premium package (min. 18 sq m) - 515/sq m,https://www.upakovka-tradefair.com/en/Visitors/Review_2019/Media_Center,https://www.upakovka-tradefair.com/en/Visitors/Review_2019/Media_Center,,,,,,
Conference,"Print, Packaging, Graphics",TAPPI International Flexible Packaging and Extrusion Division Conference,19 Apr 2020-22 Apr 2020,08:30 AM - 06:00 PM,20-22 May 2019,Apr-May 2021,USA,San Diego,nterContinental Hotel,,,https://events.tappiflexible.org/,+1 800 332 8686,memberconnection@tappi.org,The Vision of Packaging and Converting: Seeing Beyond 2020 TAPPIs 2020 International Flexible Packaging and Extrusion Division Conference (IFPED 2020) serves as a one-stop shop for collaboration throughout the entire flexible packaging supply chain  from raw material suppliers to brand owners. https://events.tappiflexible.org/,,Eligibility Criteria: Open to industry professionals,,,,https://www.facebook.com/joinTAPPI/,,https://www.linkedin.com/groups/90824,https://twitter.com/TAPPITWEETS,,
Trade Show,"Print, Packaging, Graphics",Drupa,16 Jun 2020-26 Jun 2020,10:00 AM - 06:00 PM (16 Jun 2020-20 Jun 2020)|10:00 AM - 05:00 PM (21 Jun 2020-22 Jun 2020)|10:00 AM - 06:00 PM (23 Jun 2020-26 Jun 2020),31 May-10 Jun 2019,May-Jun 2023,Germany,Dsseldorf,Messe Dusseldorf,"2,60,165",1828,https://www.drupa.com/,+49 211 45 60 610,geldermanns@messe-duesseldorf.de,No. 1 Event for Printing Technologies Theres no other industry event that has such great international appeal as the leading trade fair for printing technologies. More than half of its visitors come to drupa with specific investment projects. https://www.drupa.com/,"Afinia Label ,Amica Systems Europe B.V. ,H. G. Weber & Co., Inc. ,Eastman Kodak Company ,Saueressig GmbH + Co. KG ,Xerox Ltd. ,Unifold Sarl ,Hagedorn GmbH ,Unilux Europe GmbH ,a&f systems ag ,Taopix Ltd. ,Tecco GmbH ,Koenig & Bauer AG ,Konica Minolta Business Solutions Europe GmbH ,Canon Europe Ltd. ,J-TEC Co., Ltd. ,OKI Europe Ltd. ,Felix Bttcher GmbH & Co.KG ,D & K Europe Ltd. ,DMA Innotec GmbH",Eligibility Criteria: Open to industry professionals Fees: Ticket sales will start soon.,Sponsorship Fees: No information Exhibitor Fees: Custom packages available Contact required for further information,,https://www.youtube.com/user/drupaTradeFair,https://www.facebook.com/drupa.tradefair,,https://www.linkedin.com/groups/4203634/,http://twitter.com/drupa,,
Conference,"Print, Packaging, Graphics",The Canmaker Summit,9 Oct 2019-10 Oct 2019,09:30 AM - 07:30 PM (9 Oct 2019)|09:30 AM - 03:30 PM (10 Oct 2019),10-11 Oct 2018,20-Oct,United Kingdom,London,Leonardo Royal Hotel London  St Pauls,,,https://spgevents.com/summit/,,info@spgevents.com,"Annual Meeting for the Global Metal Packaging Industry The Canmaker Summit is an annual meeting of companies and individuals who are involved in the global metal packaging industry. It is a chance to explore the latest industry developments and to join canmakers, fillers and suppliers in an examination of topical issues that are impacting metal packaging. https://spgevents.com/summit/about",,Eligibility Criteria: Open to industry professionals Fees: Early Bird Rate (before 2 Sep) Gold Club members - 1.095 Other delegates - 1.295 Regular rate Gold Club members - 1.1195 Other delegates - 1.395,Limited exhibition opportunities available,https://www.spgevents.com/PhotoGallery/,,,,,,,
Conference,"Print, Packaging, Graphics",PrintIstanbul - International Printing Technologies Symposium,10 Oct 2019-12 Oct 2019,09:00 AM - 06:00 PM,11-13 Oct 2017,21-Oct,Turkey,Istanbul,Marmara University,,,http://www.printistanbul.org/2019/en/,+90 216 349 41 73  1450,sekreterya.printistanbul@marmara.edu.tr,"Design, Print, Innovation This symposium covering all aspects of printing and print media technology will be held every 2 years, working with all branches of the printing industry  academic, supply and purchasing; in short if you are interested in any branch of printing you will find the latests developments which will make you more profitable and succesful in this symposium. http://www.printistanbul.org/2019/en/objective-and-scope/",,Eligibility Criteria: Open to industry professionals,,,,,,,,,
Trade Show & Conference,"Print, Packaging, Graphics",Vietnam PrintPack,16 Oct 2019-19 Oct 2019,09:00 AM - 05:00 PM (16 Oct 2019-18 Oct 2019)|09:00 AM - 03:00 PM (19 Oct 2019),29 Aug-1 Sep 2018,Autumn 2020,Vietnam,Ho Chi Minh City,Saigon Exhibition and Convention Center,14992,360,https://www.chanchao.com.tw/VietnamPrintPack/,+886 2 26596000 ext. 176,akai@chanchao.com.tw,"A Golden Opportunity to Develop Your Business Network The 19th Vietnam Int'l Printing, Packaging Industry Exhibition provides the best platform for exhibitors to reach local business owners. With 18 years of experience, it has successfully build a reputation on professional industrial trade fair of printing and packaging sector. https://www.chanchao.com.tw/VietnamPrintPack/visitor.asp","PTS Industries Co. Ltd. ,Uchida Yoko Global Limited ,Vietnam Printing Association ,Cong Ty Tnhh Trung My A ,Yong Mei Printing Technology Co. Ltd. ,Konica Minolta Business Solutions Vietnam ,Pora Electric Machinery Co. Ltd. ,Li Shenq Machinery Co. Ltd. ,Insung Hivina ,West River Automation Equipment ,Toan An Co. Ltd. ,Sam Asia Co. Ltd. ,Full Land Industrial Corp. ,Colorpilot Info-Tech Corp. ,Forever Grand Co. Ltd. ,Care Graphic Machinery Ltd. ,Ripleytek Co. Ltd. ,Diamic Co. Ltd. ,Bottcher Vietnam LLC ,Meiwa Corporation",Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,Sponsorship Fees: Packages vary between $200 - $2.800 Exhibitor Fees: Schell Scheme (min. 9 sq m) - $280/sq m Space Only (min. 36 sq m) - $250/sq m,https://www.chanchao.com.tw/VietnamPrintPack/historyPhoto.asp,https://www.chanchao.com.tw/VietnamPrintPack/historyVideo.asp,https://www.facebook.com/vnprintpack/,,,,,
Conference,"Print, Packaging, Graphics",Druck und Design die Konferenz,22 Oct 2019,09:30 AM - 05:30 PM,25-26 Oct 2018,20-Oct,Germany,Munich,Literaturhaus Mnchen,,,https://druckunddesign.org/events/druck-und-design-die-konferenz/,+49 89 33036 0,info@vdmb.de,"Design Knowledge for Print and Print Knowledge for Design In front of the backdrop of the Theatinerkirche, printers, clients and designers come into conversation. In practice-oriented work panels, we rely entirely on knowledge transfer. Because only if all sides know what the other wants, fascinating products can be created - to the satisfaction of the customers. https://druckunddesign.org/events/druck-und-design-die-konferenz/","Schock,Effektiv,Gmund,Huber Group,Igepa Group,Wiesendanger Medien,Druckerei Vogl,Inapa Papier Union,F&W,James Cropper,Antalis",Eligibility Criteria: Open to industry professionals,Sponsorship and exhibition opportunities available,,,,,,,,
Conference,"Print, Packaging, Graphics",Druck und Design und Kurz,18 Jul 2019,02:00 AM - 07:00 PM,,20-Jul,Germany,Frth,,,,https://druckunddesign.org/events/druck-und-design-und-kurz/,+49 89 33036 0,info@vdmb.de,"The Exciting World of New Ways of Refining Paper and Packaging In its first event, Die Druck und Design is deeply immersed in the exciting world of new ways of refining paper and packaging. We also got an exclusive look behind the scenes of LEONHARD KURZ in Frth, the world's leading manufacturer of finishing materials. As part of a special tour, we learned how various applications work live and got to know their special features. In the showroom a variety of refined patterns waited for the enthusiastic participants. https://druckunddesign.org/events/druck-und-design-und-kurz/",,Eligibility Criteria: Open to industry professionals,Sponsorship and exhibition opportunities available,,,,,,,,
Trade Show & Conference,"Print, Packaging, Graphics",Empack,23 Oct 2019-24 Oct 2019,10:00 AM - 06:00 PM (23 Oct 2019)|10:00 AM - 05:00 PM (24 Oct 2019),3-4 Oct 2018,20-Oct,Belgium,Mechelen,Nekkerhal-Brussels North,3329,,https://www.empack.be/,+32 3 280 53 46,els.verhoeven@easyfairs.com,"Discover the Future of Packaging Technology Empack will take place in the Nekkerhal-Brussels North in Mechelen on 23 & 24 October. Empack brings exhibitors and visitors together to discover the latest trends and developments regarding packaging technology and packaging machines. Besides Empack, there is also Packaging Innovations, the event that combines the technological packaging world of Empack with the creative minds of branding. Due to this colocation, the Nekkerhal-Brussels North is the largest meeting place in Belgium for the entire packaging community. https://www.empack.be/","Alphatec ,Bastin-Pack ,Beko Technologies ,Boekholt Transmissions ,CVP Benelux - Liesse Packaging ,De Groot BV ,Espera Belgium BVBA ,Houweling Group ,IFS Nederland BV ,Intropack Machinery Holland BV ,LH Packaging BV ,Novexx Solutions BV ,Oerlemans Packaging Group ,Packet Print NV ,Quermia Graphics ,Rycobel NV ,Shuttleworth Europe NV ,Tasco Label Print Solutions ,Tespack ,Valipac",Eligibility Criteria: Open to industry professionals Fees: Contact required for pricing information,Sponsorship and exhibition opportunities available Packages vary between 799 - 1.360,,,https://www.facebook.com/empackBelgium/?ref=br_rs,,https://www.linkedin.com/showcase/empackbelgium/,https://twitter.com/EmpackBE,,
Conference,"Print, Packaging, Graphics",FLEX China National Flexible Printing Electronics Seminar,23 Oct 2019-25 Oct 2019,09:00 AM - 06:00 PM,27-Sep-18,Sep-Oct 2020,China,Suzhou,Suzhou International Expo Center,,,http://www.semi.org.cn/semiconchina/mail/190701/190701en.html,+86 21 60278525,exiao@semi.org,"Latest Development in Printing Built on its previous success, the Flex China 2019 will continue to serve as a platform for exchange of information and progress in the field of flexible & printed electronics. Internationally prominent scholars and market analyst will be invited to speak at the symposium. There are exhibition floors for companies and research organizations to display their latest technologies and products. http://www.semi.org.cn/semiconchina/mail/190701/190701en.html",,Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,Sponsorship and exhibition opportunities available,,,,,,,,
Conference,"Print, Packaging, Graphics",SIITME - International Symposium for Design and Technology in Electronic Packaging,23 Oct 2019-26 Oct 2019,09:00 AM - 07:30 PM,25-28 Oct 2018,20-Oct,Romania,Cluj-Napoca,Grand Hotel Napoca,,,http://siitme.ro/,+40 213169633,siitme@cetti.ro,"The Scientific and Technical Event on Electronic Packaging International Symposium for Design and Technology in Electronic Packaging focuses on emerging topics in advanced packaging, new components and manufacturing technologies, printed electronics, smart textiles and healthcare, sensors, actuators and microsystems, nanomaterials, nanoelectronics and nanotechnology, embedded systems, robotics and artificial Intelligence, power electronics and thermal management and etc. http://siitme.ro/",,"Eligibility Criteria: Open to industry professionals Fees: Student - 250 Participant - 400 (Double), 500 (Single) Accompanying person - 350",Exhibitor Fees: 1 participant/booth - 400 2 participants/booth - 700 1 participant/extended booth - 500 2 participants/extended booth - 800,http://siitme.ro/2018-edition/siitme-2018-photo-gallery/,,,,,,,
Conference,"Print, Packaging, Graphics",The International FEFPEB Congress,9 Oct 2019-11 Oct 2019,09:00 AM - 02:30 PM (10 Oct 2019)|08:30 AM - 07:00 PM (11 Oct 2019),11-13 Oct 2017,20-Oct,Germany,Hamburg,Le Meridien Hamburg,200,,https://www.fefpebcongress.eu/,+49 2224 96 9150,box@fefpebcongress.org,The Biggest Bianaul FEFPEB Event,,Eligibility Criteria: Open to industry professionals Fees: Regular rate - 595 Partner rate - 464,Sponsorship Fees: Packages vary between 3.000 - 5.000 Custom packages available Sponsorship Registration,https://www.fefpebcongress.eu/PICTURES/,,,,,,,
Conference,"Print, Packaging, Graphics",Electronic and Conductive Ink Conference,17 Oct 2019-18 Oct 2019,08:30 AM - 06:30 PM (17 Oct 2019)|08:30 AM - 12:00 PM (18 Oct 2019),11-12 Oct 2018,20-Oct,USA,Oakbrook,The Drake Hotel,,,http://www.printedelectronicink.com/,,jcopeland@napim.org,"A Conference on Electronic and Conductive Inks The conference will feature experts in the field of electronic and conductive inks, as well as allied fields such as equipment, researchers and end-users. Join us to learn about the opportunities ahead for electronic and conductive inks. http://www.printedelectronicink.com/","ChemCubed ,Custom Milling and Consulting ,FUJIFILM Dimatix ,IIMAK/SPF-Inc ,Ink World Magazine ,NAPIM ,NovaCentrix ,Printed Electronics Now ,Sun Chemical ,Xenon Corporation",Eligibility Criteria: Open to industry professionals Fees: Price Per Attendee - $495,Sponsorship Fees: Packages vary between $1.595 - $4.995 Exhibitor Fees: 2x6 ft Tabletop Display - $795 Additional booth personnel - $175,,,,,,,,
Trade Show,"Print, Packaging, Graphics",Converters Expo,29 Apr 2020-30 Apr 2020,09:30 AM - 03:30 PM,27-28 Mar 2019,Mar-Apr 2021,USA,Green Bay,Lambeau Field Atrium,700,,https://www.packagingstrategies.com/converters-expo,+1 610 436 4220 ext. 8514,Meetings@packstrat.com,"Your One-Stop Shop for All Things Converting With over 700 attendees expected, Converters Expo continues to grow. Located in the heart of the nations top Converting Corridor, it is the place to find manufacturing partners, check out testing and prototyping equipment, meet with producers of disposables and learn the latest in flexo printing and packaging. https://www.packagingstrategies.com/converters-expo","MECA Solutions ,American Cutting Edge ,Aurizon Ultrasonics ,N.E.W. Plastics ,Operon Systems ,Capital Adhesives ,gb Flexo Equipment ,FlexPak Services ,Sierra Coating Technologies ,Edson Packaging Machinery ,Breit Technologies ,Precision Color Graphics ,Retroflex, Inc. ,Jennerjahn Machine ,Valley Grinding & Mfg. ,Loparex LLC ,Atlas Converting NA ,Nichols Paper Products ,LasX Industries ,KBA/Flexotecnica","Eligibility Criteria: Open to industry professionals and trade visitors Fees: General Attendee - $100 Sponsor and/or Exhibitor Attendee - $100 Early Bird Rate (by March 18, 2020) - $50 Advance Rate (by April 15, 2020) - $70",Sponsorship Fees: Packages vary between $300 - $5.000 Exhibitor Fees: Earlybird Rate (on or before 10/1/19) - $1.395 Exhibitor Rate (after 10/1/19) - $1.445 Electricity (Standard Power-20 amp/single phase) - $90 Logo Upgrade in Directory - $195 Additional or Expanded Profile Listing - $25,https://www.packagingstrategies.com/media/photos/14-2018-convertors-expo-highlights,,https://www.facebook.com/PackStrat,,https://www.linkedin.com/groups/2665966,https://twitter.com/PackStrat,,
Trade Show,"Print, Packaging, Graphics",Converters Expo South,12 Feb 2020,09:30 AM - 03:30 PM,5-Feb-19,21-Feb,USA,Charlotte,Charlotte Convention Center,,,https://www.packagingstrategies.com/converters-expo-south,+1 610 436 4220 ext. 8514,Meetings@packstrat.com,"The Latest in Flexo Printing and Packaging Converters Expo South is a one day expo that unites converters of paper, film, plastics and nonwovens with industry buyers, specialists and suppliers. With hundreds of attendees expected, Converters Expo South will be the place to find manufacturing partners, check out testing and prototyping equipment, meet with producers of disposables and learn the latest in flexo printing and packaging. https://www.packagingstrategies.com/converters-expo-south","Jemmco ,The Kinetic Company ,Maxcess International ,Pinnacle Converting Equipment & Services ,Roll Technology ,Goldenrod Corporation ,Enercon Industries Corp. ,Davis-Standard ,Charter NEX Films ,Capital Adhesives ,Rossini North America ,Delta ModTech ,Schlumpf USA ,Sierra Coating Technologies ,Festo Corp. ,Wikoff Color Corp. ,Sierra Coating Technologies ,Deacro Industries ,Componex ,Perftech, Inc.",Eligibility Criteria: Open to industry professionals Fees: Early Bird & Exhibitor/Sponsor Attendee (by 1/2/2020) - $50 Advance & Exhibitor/Sponsor Attendee (by 1/29/2020) - $70 General Trade Show Attendee (after Jan. 29 & Onsite) - $100,Sponsorship Fees: Packages vary between $25 - $10.000 Exhibitor Fees: Early Bird Exhibit Space (by 8/30/2019) - $1.345 General Exhibit Space (after 8/30/2019) - $1.395,,,https://www.facebook.com/PackStrat,,https://www.linkedin.com/groups/2665966,https://twitter.com/PackStrat,,
Trade Show & Conference,"Print, Packaging, Graphics",Global Pouch Forum,16 Jun 2020-18 Jun 2020,08:30 AM - 07:30 PM,11-13 Jun 2019,21-Jun,,USA,Rosemont,Hyatt Regency O'hare,,https://www.packagingstrategies.com/global-pouch-forum/past-exhibitors,+1 610 436 4220 ext. 8514,Meetings@packstrat.com,"The Evolution of Flexible Packaging In response to market requests, the BNP Media Packaging Group concentrated its flexible packaging events at the Global Pouch Forum this year. By combining Global Pouch Forum and Global Pouch West into a single event and moving it to the Chicago area, the conference grew even more. The upper Midwest represents the heartland of U.S. packaging operations while offering easy and balanced accessibility to attendees from throughout North America. https://www.packagingstrategies.com/global-pouch-forum","Mondi Group ,Morris Packaging ,Multi-Color Corporation ,Pactech Packaging ,Pppelmann GmbH & Co. KG ,EDL Packaging Engineers ,Eagle Flexible Packaging ,Polyplex USA LLC ,Delkor Systems, Inc. ,NOVA Chemicals ,Multisorb Technologies, Inc. ,Bemis Co., Inc. ,AlliedFlex Technologies, Inc ,Karlville Development ,Jindal Films Americas ,HP Inc. ,ExxonMobil Chemical Co. ,Menshen Packaging USA ,Michelman, Inc. ,ProAmpac","Eligibility Criteria: Open to industry professionals Fees: Brand-Owner, CPG (consumer packaged goods), Private Brand Retailer Early Bird (by 5/24/2020) - $790 General - $890 Industry Suppliers Early Bird (by 5/24/2020) - $1.140 General - $1.440 Exhibitor / Sponsor Attendee - 1 or More - Free depending on level of sponsorship, Additional - $890 each",Sponsorship Fees: Packages vary between $695 - $17.000 Exhibitor Fees: Exhibitor Tabletop + Registration (on/before Dec. 15th) - $2.295 After Dec. 15th - $2.395 Additional Listing with Logo in Event Workbook - $195,,,https://www.facebook.com/PackStrat,,https://www.linkedin.com/groups/2665966,https://twitter.com/PackStrat,,
Conference,"Print, Packaging, Graphics",Coatings Trends & Technologies,10 Sep 2019-11 Sep 2019,08:15 AM - 05:00 PM (10 Sep 2019)|08:15 AM - 03:00 PM (11 Sep 2019),11-12 Sep 2018,20-Sep,USA,Rosemont,Loews Chicago O'Hare Hotel,,,https://www.pcimag.com/coatings-conference?,+1 844 644 7449,bnp@executivevents.com,"Coatings Solutions to Improve Your Formulations Coatings Trends & Technologies (CTT) has become an industry staple over the last 8 years for coatings formulators, chemists and R&D specialists to come together for two days of networking with industry professionals and in-depth learning about the latest research and emerging trends in coatings technology from industry experts. Our mission is to provide you with actionable solutions to improve your formulations and help your company evolve with the changing trends in the coatings industry. https://www.pcimag.com/coatings-conference?",,"Eligibility Criteria: Open to industry professionals Fees: Attendee: Manufacturer - $400 (Advance rate), $550 (Standard rate) Attendee: Supplier, Distributor or Vendor (non-exhibitor) - $500 (Advance rate), $600 (Standard rate) Exhibitor/Sponsor - $500 (Advance rate), $550 (Standard rate)",Sponsorship and exhibition opportunities available Contact required for further information Sponsor/Exhibitor Registration,,,https://www.facebook.com/PCIfan,,https://www.linkedin.com/groups/3043495,https://twitter.com/PCImag,,
